name,team,playerImageUrl,battingStyle,bowlingStyle,playingRole
Mohammad Rizwan †,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320458.1.png",Right hand Bat,Right arm Medium,Wicketkeeper Batter
Babar Azam (c),Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320448.1.png",Right hand Bat,Right arm Offbreak,Batter
Mohammad Haris,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389700/389743.5.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shan Masood,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/302800/302826.2.png",Left hand Bat,Right arm Medium fast,Opening Batter
Iftikhar Ahmed,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382000/382033.4.png",Right hand Bat,Right arm Offbreak,Middle order Batter
Shadab Khan,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320467.1.png",Right hand Bat,Legbreak,Allrounder
Mohammad Nawaz,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322217.1.png",Left hand Bat,Slow Left arm Orthodox,Allrounder
Mohammad Wasim,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322154.1.png",Right hand Bat,Right arm Fast medium,Bowler
Shaheen Shah Afridi,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322250.1.png",Left hand Bat,Left arm Fast,Bowler
Haris Rauf,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322202.1.png",Right hand Bat,Right arm Fast,Bowler
Jos Buttler (c)†,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383143.1.png",Right hand Bat,N/A,Wicketkeeper Batter
Alex Hales,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316604.1.png",Right hand Bat,Right arm Medium,Opening Batter
Phil Salt,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383141.1.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Ben Stokes,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319748.1.png",Left hand Bat,Right arm Fast medium,Allrounder
Harry Brook,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383145.1.png",Right hand Bat,Right arm Medium,Batter
Moeen Ali,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383142.1.png",Left hand Bat,Right arm Offbreak,Batting Allrounder
Liam Livingstone,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383152.1.png",Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Chris Woakes,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316603.1.png",Right hand Bat,Right arm Fast medium,Allrounder
Sam Curran,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383153.1.png",Left hand Bat,Left arm Medium fast,Allrounder
Adil Rashid,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383151.1.png",Right hand Bat,Legbreak,Bowler
Chris Jordan,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383144.1.png",Right hand Bat,Right arm Fast medium,Bowler
Naseem Shah,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322223.2.png",Right hand Bat,Right arm Fast,Bowler
KL Rahul,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319942.3.png",Right hand Bat,N/A,Wicketkeeper Batter
Rohit Sharma (c),India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385800/385819.2.png",Right hand Bat,Right arm Offbreak,Top order Batter
Virat Kohli,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316605.3.png",Right hand Bat,Right arm Medium,Top order Batter
Suryakumar Yadav,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331163.1.png",Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Hardik Pandya,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/388300/388343.5.png",Right hand Bat,Right arm Medium fast,Allrounder
Rishabh Pant †,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323036.1.png",Left hand Bat,N/A,Wicketkeeper Batter
Ravichandran Ashwin,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/393300/393315.2.png",Right hand Bat,Right arm Offbreak,Bowling Allrounder
Bhuvneshwar Kumar,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392400/392400.2.png",Right hand Bat,Right arm Medium,Bowler
Arshdeep Singh,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390700/390798.5.png",Left hand Bat,Left arm Medium fast,Bowler
Axar Patel,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331164.2.png",Left hand Bat,Slow Left arm Orthodox,Allrounder
Mohammed Shami,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390300/390351.5.png",Right hand Bat,Right arm Fast,Bowler
Finn Allen,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383164.1.png",Right hand Bat,N/A,Top order Batter
Devon Conway †,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383148.1.png",Left hand Bat,Right arm Medium,Wicketkeeper Batter
Kane Williamson (c),New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383172.1.png",Right hand Bat,Right arm Offbreak,Top order Batter
Glenn Phillips,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383167.1.png",Right hand Bat,Right arm Offbreak,Allrounder
Daryl Mitchell,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383147.2.png",Right hand Bat,Right arm Medium,Batting Allrounder
James Neesham,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383171.1.png",Left hand Bat,Right arm Medium fast,Batting Allrounder
Trent Boult,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383185.1.png",Right hand Bat,Left arm Fast medium,Bowler
Tim Southee,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383184.1.png",Right hand Bat,Right arm Medium fast,Bowler
Lockie Ferguson,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383174.1.png",Right hand Bat,Right arm Fast,Bowler
Mitchell Santner,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383180.1.png",Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Ish Sodhi,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383170.1.png",Right hand Bat,Legbreak,Bowler
Wessly Madhevere,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/326500/326552.3.png",Right hand Bat,Right arm Offbreak,Allrounder
Craig Ervine (c),Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316567.1.png",Left hand Bat,Right arm Offbreak,Middle order Batter
Regis Chakabva †,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316627.1.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Sean Williams,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316568.1.png",Left hand Bat,Slow Left arm Orthodox,Allrounder
Sikandar Raza,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392200/392219.2.png",Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Tony Munyonga,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348594.1.png",Right hand Bat,Right arm Offbreak,Allrounder
Ryan Burl,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386700/386758.5.png",Left hand Bat,Legbreak,Allrounder
Wellington Masakadza,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321400/321492.1.png",Left hand Bat,Slow Left arm Orthodox,Bowler
Richard Ngarava,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348597.1.png",Left hand Bat,Left arm Fast medium,Bowler
Tendai Chatara,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316683.1.png",Right hand Bat,Right arm Fast medium,Bowler
Blessing Muzarabani,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321400/321471.1.png",Right hand Bat,Right arm Fast medium,Bowler
Najmul Hossain Shanto,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323100/323155.1.png",Left hand Bat,Right arm Offbreak,Top order Batter
Litton Das,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319727.1.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Soumya Sarkar,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385800/385821.1.png",Left hand Bat,Right arm Medium fast,Batting Allrounder
Shakib Al Hasan (c),Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316581.1.png",Left hand Bat,Slow Left arm Orthodox,Allrounder
Afif Hossain,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323100/323159.1.png",Left hand Bat,Right arm Offbreak,Allrounder
Mosaddek Hossain,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319733.1.png",Right hand Bat,Right arm Offbreak,Allrounder
Nurul Hasan †,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323100/323162.1.png",Right hand Bat,N/A,Wicketkeeper Batter
Taskin Ahmed,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316700/316703.1.png",Left hand Bat,Right arm Fast,Bowler
Nasum Ahmed,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323100/323176.1.png",Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Mustafizur Rahman,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319734.3.png",Left hand Bat,Left arm Fast medium,Bowler
Shakib Al Hasan,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316581.1.png",Left hand Bat,Slow Left arm Orthodox,Allrounder
Ebadot Hossain,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/345000/345078.1.png",Right hand Bat,Right arm Fast medium,Bowler
Stephan Myburgh,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322500/322584.1.png",Left hand Bat,Right arm Offbreak,Opening Batter
Max O'Dowd,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381700/381736.2.png",Right hand Bat,Right arm Offbreak,Opening Batter
Tom Cooper,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322400/322485.1.png",Right hand Bat,Right arm Offbreak,Middle order Batter
Colin Ackermann,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322638.1.png",Right hand Bat,Right arm Offbreak,Batting Allrounder
Bas de Leede,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381700/381734.3.png",Right hand Bat,Right arm Fast medium,Batting Allrounder
Scott Edwards (c)†,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322500/322592.1.png",Right hand Bat,N/A,Wicketkeeper Batter
Quinton de Kock †,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316668.1.png",Left hand Bat,N/A,Wicketkeeper Batter
Temba Bavuma (c),South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320389.1.png",Right hand Bat,Right arm Medium,Middle order Batter
Rilee Rossouw,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316651.1.png",Left hand Bat,Right arm Offbreak,Top order Batter
Aiden Markram,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322067.1.png",Right hand Bat,Right arm Offbreak,Allrounder
David Miller,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316655.1.png",Left hand Bat,Right arm Offbreak,Middle order Batter
Heinrich Klaasen,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322073.1.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Wayne Parnell,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316608.1.png",Left hand Bat,Left arm Medium fast,Bowler
Keshav Maharaj,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322072.1.png",Right hand Bat,Slow Left arm Orthodox,Bowler
Kagiso Rabada,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320376.1.png",Left hand Bat,Right arm Fast,Bowler
Anrich Nortje,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322080.1.png",Right hand Bat,Right arm Fast,Bowler
Lungi Ngidi,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322069.1.png",Right hand Bat,Right arm Fast medium,Bowler
Fred Klaassen,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385900/385990.6.png",Right hand Bat,Left arm Fast medium,Bowler
Paul van Meekeren,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381700/381737.3.png",Right hand Bat,Right arm Fast medium,Bowler
Roelof van der Merwe,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386000/386027.5.png",Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Brandon Glover,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/379300/379316.9.png",Right hand Bat,Right arm Fast,Bowler
Logan van Beek,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331170.3.png",Right hand Bat,Right arm Medium fast,Bowler
Pathum Nissanka,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323070.1.png",Right hand Bat,N/A,Top order Batter
Kusal Mendis †,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319866.2.png",Right hand Bat,Legbreak,Wicketkeeper Batter
Dhananjaya de Silva,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319859.2.png",Right hand Bat,Right arm Offbreak,Allrounder
Charith Asalanka,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348599.1.png",Left hand Bat,Right arm Offbreak,Batting Allrounder
Bhanuka Rajapaksa,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/340300/340306.1.png",Left hand Bat,Right arm Medium,Top order Batter
Dasun Shanaka (c),Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/328000/328058.2.png",Right hand Bat,Right arm Medium,Allrounder
Wanindu Hasaranga,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322946.1.png",Right hand Bat,Legbreak,Allrounder
Chamika Karunaratne,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329900/329937.1.png",Right hand Bat,Right arm Medium fast,Bowling Allrounder
Maheesh Theekshana,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/347800/347825.1.png",Right hand Bat,Right arm Offbreak,Bowler
Mark Wood,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383149.2.png",Right hand Bat,Right arm Fast,Bowler
Kasun Rajitha,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322957.1.png",Right hand Bat,Right arm Medium fast,Bowler
Lahiru Kumara,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322942.1.png",Left hand Bat,Right arm Fast,Bowler
David Warner,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316589.1.png",Left hand Bat,Legbreak,Opening Batter
Cameron Green,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321569.2.png",Right hand Bat,Right arm Fast medium,Batting Allrounder
Mitchell Marsh,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385700/385798.1.png",Right hand Bat,Right arm Medium,Allrounder
Steven Smith,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385700/385794.1.png",Right hand Bat,Legbreak Googly,Top order Batter
Marcus Stoinis,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321596.2.png",Right hand Bat,Right arm Medium,Batting Allrounder
Glenn Maxwell,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389500/389563.5.png",Right hand Bat,Right arm Offbreak,Batting Allrounder
Matthew Wade (c)†,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316594.1.png",Left hand Bat,Right arm Medium,Wicketkeeper Batter
Pat Cummins,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390954.5.png",Right hand Bat,Right arm Fast,Bowler
