match,bowlingTeam,bowlerName,overs,maidens,runs,wickets,economy,0s,4s,6s,wd,nb,match_id
England Vs Pakistan,England,Ben Stokes,4,0,32,1,8.00,6,1,0,2,1,T20I # 1879
England Vs Pakistan,England,Chris Woakes,3,0,26,0,8.66,7,2,1,2,0,T20I # 1879
England Vs Pakistan,England,Sam Curran,4,0,12,3,3.00,15,0,0,0,0,T20I # 1879
England Vs Pakistan,England,Adil Rashid,4,1,22,2,5.50,10,1,0,1,0,T20I # 1879
England Vs Pakistan,England,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0,T20I # 1879
England Vs Pakistan,England,Liam Livingstone,1,0,16,0,16.00,1,1,1,1,0,T20I # 1879
England Vs Pakistan,Pakistan,Shaheen Shah Afridi,2.1,0,13,1,6.00,6,1,0,0,0,T20I # 1879
England Vs Pakistan,Pakistan,Naseem Shah,4,0,30,0,7.50,15,3,1,1,0,T20I # 1879
England Vs Pakistan,Pakistan,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0,T20I # 1879
England Vs Pakistan,Pakistan,Shadab Khan,4,0,20,1,5.00,10,1,0,0,0,T20I # 1879
England Vs Pakistan,Pakistan,Mohammad Wasim,4,0,38,1,9.50,5,5,0,2,0,T20I # 1879
England Vs Pakistan,Pakistan,Iftikhar Ahmed,0.5,0,13,0,15.60,0,1,1,0,0,T20I # 1879
England Vs India,England,Ben Stokes,2,0,18,0,9.00,5,2,1,0,0,T20I # 1878
England Vs India,England,Chris Woakes,3,0,24,1,8.00,5,1,1,2,0,T20I # 1878
England Vs India,England,Sam Curran,4,0,42,0,10.50,9,5,2,0,0,T20I # 1878
England Vs India,England,Adil Rashid,4,0,20,1,5.00,8,1,0,0,0,T20I # 1878
England Vs India,England,Liam Livingstone,3,0,21,0,7.00,7,3,0,0,0,T20I # 1878
England Vs India,England,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0,T20I # 1878
England Vs India,India,Bhuvneshwar Kumar,2,0,25,0,12.50,4,3,1,1,0,T20I # 1878
England Vs India,India,Arshdeep Singh,2,0,15,0,7.50,4,2,0,1,0,T20I # 1878
England Vs India,India,Axar Patel,4,0,30,0,7.50,10,2,2,0,0,T20I # 1878
England Vs India,India,Mohammed Shami,3,0,39,0,13.00,7,4,3,0,0,T20I # 1878
England Vs India,India,Ravichandran Ashwin,2,0,27,0,13.50,1,1,2,1,0,T20I # 1878
England Vs India,India,Hardik Pandya,3,0,34,0,11.33,5,1,2,0,0,T20I # 1878
New Zealand Vs Pakistan,New Zealand,Shaheen Shah Afridi,4,0,24,2,6.00,11,2,0,0,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,Naseem Shah,4,0,30,0,7.50,8,3,0,0,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,Haris Rauf,4,0,32,0,8.00,6,2,0,0,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,Mohammad Wasim,2,0,15,0,7.50,3,0,1,0,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,Shadab Khan,4,0,33,0,8.25,7,3,1,0,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,Mohammad Nawaz,2,0,12,1,6.00,2,0,0,0,0,T20I # 1877
New Zealand Vs Pakistan,Pakistan,Trent Boult,4,0,33,2,8.25,9,5,0,0,0,T20I # 1877
New Zealand Vs Pakistan,Pakistan,Tim Southee,3.1,0,24,0,7.57,7,3,0,2,0,T20I # 1877
New Zealand Vs Pakistan,Pakistan,Lockie Ferguson,4,0,37,0,9.25,7,4,1,1,0,T20I # 1877
New Zealand Vs Pakistan,Pakistan,Mitchell Santner,4,0,26,1,6.50,6,1,0,0,0,T20I # 1877
New Zealand Vs Pakistan,Pakistan,Ish Sodhi,4,0,26,0,6.50,4,1,0,0,0,T20I # 1877
India Vs Zimbabwe,India,Richard Ngarava,4,1,44,1,11.00,12,2,4,1,1,T20I # 1873
India Vs Zimbabwe,India,Tendai Chatara,4,0,34,0,8.50,5,3,1,0,0,T20I # 1873
India Vs Zimbabwe,India,Blessing Muzarabani,4,0,50,1,12.50,5,8,0,1,0,T20I # 1873
India Vs Zimbabwe,India,Wellington Masakadza,2,0,12,0,6.00,5,1,0,1,0,T20I # 1873
India Vs Zimbabwe,India,Ryan Burl,1,0,14,0,14.00,1,1,1,0,0,T20I # 1873
India Vs Zimbabwe,India,Sikandar Raza,3,0,18,1,6.00,5,0,1,0,0,T20I # 1873
India Vs Zimbabwe,India,Sean Williams,2,0,9,2,4.50,6,0,0,2,0,T20I # 1873
India Vs Zimbabwe,Zimbabwe,Bhuvneshwar Kumar,3,1,11,1,3.66,14,1,0,1,0,T20I # 1873
India Vs Zimbabwe,Zimbabwe,Arshdeep Singh,2,0,9,1,4.50,9,1,0,2,0,T20I # 1873
India Vs Zimbabwe,Zimbabwe,Mohammed Shami,2,0,14,2,7.00,7,1,1,0,0,T20I # 1873
India Vs Zimbabwe,Zimbabwe,Hardik Pandya,3,0,16,2,5.33,10,1,0,2,1,T20I # 1873
India Vs Zimbabwe,Zimbabwe,Ravichandran Ashwin,4,0,22,3,5.50,13,3,0,1,0,T20I # 1873
India Vs Zimbabwe,Zimbabwe,Axar Patel,3.2,0,40,1,12.00,4,5,1,0,0,T20I # 1873
Bangladesh Vs Pakistan,Bangladesh,Shaheen Shah Afridi,4,0,22,4,5.50,13,2,1,0,0,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,Naseem Shah,3,0,15,0,5.00,9,2,0,0,0,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,Mohammad Wasim,2,0,19,0,9.50,5,1,1,1,0,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,Haris Rauf,4,0,21,1,5.25,11,2,0,0,0,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,Shadab Khan,4,0,30,2,7.50,8,3,0,0,0,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,Iftikhar Ahmed,3,0,15,1,5.00,9,2,0,0,0,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,Taskin Ahmed,3,0,26,0,8.66,10,1,2,0,1,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,Nasum Ahmed,4,0,14,1,3.50,13,0,0,2,0,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,Shakib Al Hasan,4,0,35,1,8.75,6,5,0,0,0,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,Mustafizur Rahman,4,0,21,1,5.25,8,0,0,0,0,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,Ebadot Hossain,3.1,0,25,1,7.89,7,1,1,0,1,T20I # 1872
Netherlands Vs South Africa,Netherlands,Wayne Parnell,4,0,32,0,8.00,10,2,2,1,0,T20I # 1871
Netherlands Vs South Africa,Netherlands,Kagiso Rabada,3,0,37,0,12.33,6,7,0,0,0,T20I # 1871
Netherlands Vs South Africa,Netherlands,Lungi Ngidi,3,0,35,0,11.66,3,5,0,0,0,T20I # 1871
Netherlands Vs South Africa,Netherlands,Anrich Nortje,4,0,10,1,2.50,14,0,0,0,0,T20I # 1871
Netherlands Vs South Africa,Netherlands,Keshav Maharaj,4,0,27,2,6.75,12,1,2,0,0,T20I # 1871
Netherlands Vs South Africa,Netherlands,Aiden Markram,2,0,16,1,8.00,3,0,1,1,0,T20I # 1871
Netherlands Vs South Africa,South Africa,Fred Klaassen,4,0,20,2,5.00,15,3,0,0,0,T20I # 1871
Netherlands Vs South Africa,South Africa,Paul van Meekeren,3,0,33,1,11.00,5,1,2,1,1,T20I # 1871
Netherlands Vs South Africa,South Africa,Colin Ackermann,3,0,16,0,5.33,6,1,0,0,0,T20I # 1871
Netherlands Vs South Africa,South Africa,Roelof van der Merwe,2,0,19,0,9.50,2,2,0,0,0,T20I # 1871
Netherlands Vs South Africa,South Africa,Brandon Glover,2,0,9,3,4.50,5,0,0,1,0,T20I # 1871
Netherlands Vs South Africa,South Africa,Logan van Beek,3,0,23,0,7.66,4,1,1,0,0,T20I # 1871
Netherlands Vs South Africa,South Africa,Bas de Leede,3,0,25,2,8.33,4,1,0,1,2,T20I # 1871
England Vs Sri Lanka,England,Ben Stokes,3,0,24,1,8.00,8,1,2,0,0,T20I # 1867
England Vs Sri Lanka,England,Chris Woakes,3,0,24,1,8.00,5,3,0,1,0,T20I # 1867
England Vs Sri Lanka,England,Mark Wood,3,0,26,3,8.66,8,1,2,1,0,T20I # 1867
England Vs Sri Lanka,England,Sam Curran,4,0,27,1,6.75,10,2,1,0,0,T20I # 1867
England Vs Sri Lanka,England,Adil Rashid,4,0,16,1,4.00,11,0,0,0,0,T20I # 1867
England Vs Sri Lanka,England,Liam Livingstone,2,0,16,0,8.00,2,0,1,0,0,T20I # 1867
England Vs Sri Lanka,England,Moeen Ali,1,0,5,0,5.00,1,0,0,0,0,T20I # 1867
England Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,22,0,5.50,11,1,0,1,0,T20I # 1867
England Vs Sri Lanka,Sri Lanka,Kasun Rajitha,3,0,40,0,13.33,4,5,1,2,0,T20I # 1867
England Vs Sri Lanka,Sri Lanka,Lahiru Kumara,3.4,0,24,2,6.54,11,3,0,0,1,T20I # 1867
England Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4,0,23,2,5.75,11,1,1,0,0,T20I # 1867
England Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,4,0,24,2,6.00,7,1,0,0,0,T20I # 1867
England Vs Sri Lanka,Sri Lanka,Charith Asalanka,1,0,8,0,8.00,1,1,0,0,0,T20I # 1867
Australia Vs Afghanistan,Australia,Fazalhaq Farooqi,4,0,29,2,7.25,13,4,1,0,0,T20I # 1864
Australia Vs Afghanistan,Australia,Mujeeb Ur Rahman,4,0,42,1,10.50,5,4,1,1,0,T20I # 1864
Australia Vs Afghanistan,Australia,Naveen-ul-Haq,4,0,21,3,5.25,11,2,0,0,0,T20I # 1864
Australia Vs Afghanistan,Australia,Gulbadin Naib,3,0,31,0,10.33,6,3,2,0,0,T20I # 1864
Australia Vs Afghanistan,Australia,Rashid Khan,4,0,29,1,7.25,9,2,1,1,0,T20I # 1864
Australia Vs Afghanistan,Australia,Mohammad Nabi,1,0,14,0,14.00,1,1,1,0,0,T20I # 1864
Australia Vs Afghanistan,Afghanistan,Josh Hazlewood,4,0,33,2,8.25,13,2,3,0,0,T20I # 1864
Australia Vs Afghanistan,Afghanistan,Pat Cummins,4,0,22,0,5.50,12,2,0,0,0,T20I # 1864
Australia Vs Afghanistan,Afghanistan,Marcus Stoinis,2,0,26,0,13.00,2,2,1,2,0,T20I # 1864
Australia Vs Afghanistan,Afghanistan,Kane Richardson,4,0,48,1,12.00,4,3,3,1,0,T20I # 1864
Australia Vs Afghanistan,Afghanistan,Adam Zampa,4,0,22,2,5.50,11,1,0,0,0,T20I # 1864
Australia Vs Afghanistan,Afghanistan,Cameron Green,2,0,13,0,6.50,7,1,1,0,0,T20I # 1864
Ireland Vs New Zealand,Ireland,Josh Little,4,0,22,3,5.50,10,2,0,1,0,T20I # 1862
Ireland Vs New Zealand,Ireland,Mark Adair,4,0,39,1,9.75,9,3,1,3,0,T20I # 1862
Ireland Vs New Zealand,Ireland,Barry McCarthy,4,0,46,0,11.50,4,4,2,0,0,T20I # 1862
Ireland Vs New Zealand,Ireland,Gareth Delany,4,0,30,2,7.50,11,3,1,1,0,T20I # 1862
Ireland Vs New Zealand,Ireland,Fionn Hand,2,0,22,0,11.00,2,2,1,0,0,T20I # 1862
Ireland Vs New Zealand,Ireland,George Dockrell,2,0,18,0,9.00,4,2,0,2,0,T20I # 1862
Ireland Vs New Zealand,New Zealand,Trent Boult,4,0,38,0,9.50,8,4,1,0,0,T20I # 1862
Ireland Vs New Zealand,New Zealand,Tim Southee,4,0,29,2,7.25,8,2,1,0,0,T20I # 1862
Ireland Vs New Zealand,New Zealand,Lockie Ferguson,4,0,22,3,5.50,10,1,0,0,0,T20I # 1862
Ireland Vs New Zealand,New Zealand,Mitchell Santner,4,0,26,2,6.50,12,3,1,0,0,T20I # 1862
Ireland Vs New Zealand,New Zealand,Ish Sodhi,4,0,31,2,7.75,10,0,2,1,0,T20I # 1862
Pakistan Vs South Africa,Pakistan,Wayne Parnell,4,0,31,1,7.75,10,3,1,0,0,T20I # 1861
Pakistan Vs South Africa,Pakistan,Kagiso Rabada,4,0,44,1,11.00,7,4,2,0,0,T20I # 1861
Pakistan Vs South Africa,Pakistan,Lungi Ngidi,4,0,32,1,8.00,11,3,1,2,0,T20I # 1861
Pakistan Vs South Africa,Pakistan,Anrich Nortje,4,0,41,4,10.25,11,1,4,0,1,T20I # 1861
Pakistan Vs South Africa,Pakistan,Tabraiz Shamsi,4,0,36,1,9.00,8,2,2,2,0,T20I # 1861
Pakistan Vs South Africa,South Africa,Shaheen Shah Afridi,3,0,14,3,4.66,11,2,0,0,0,T20I # 1861
Pakistan Vs South Africa,South Africa,Naseem Shah,3,0,19,1,6.33,10,1,1,1,0,T20I # 1861
Pakistan Vs South Africa,South Africa,Haris Rauf,3,0,44,1,14.66,2,7,1,1,0,T20I # 1861
Pakistan Vs South Africa,South Africa,Mohammad Wasim,2,0,13,1,6.50,3,1,0,0,0,T20I # 1861
Pakistan Vs South Africa,South Africa,Shadab Khan,2,0,16,2,8.00,5,1,1,0,0,T20I # 1861
Pakistan Vs South Africa,South Africa,Mohammad Nawaz,1,0,2,0,2.00,4,0,0,0,0,T20I # 1861
Bangladesh Vs India,Bangladesh,Taskin Ahmed,4,0,15,0,3.75,16,2,0,0,0,T20I # 1860
Bangladesh Vs India,Bangladesh,Shoriful Islam,4,0,57,0,14.25,7,4,4,2,2,T20I # 1860
Bangladesh Vs India,Bangladesh,Hasan Mahmud,4,0,47,3,11.75,7,6,2,0,1,T20I # 1860
Bangladesh Vs India,Bangladesh,Mustafizur Rahman,4,0,31,0,7.75,9,4,0,0,0,T20I # 1860
Bangladesh Vs India,Bangladesh,Shakib Al Hasan,4,0,33,2,8.25,3,2,0,0,0,T20I # 1860
Bangladesh Vs India,India,Bhuvneshwar Kumar,3,0,27,0,9.00,7,2,2,0,0,T20I # 1860
Bangladesh Vs India,India,Arshdeep Singh,4,0,38,2,9.50,10,5,1,0,0,T20I # 1860
Bangladesh Vs India,India,Mohammed Shami,3,0,25,1,8.33,7,2,1,0,0,T20I # 1860
Bangladesh Vs India,India,Axar Patel,1,0,6,0,6.00,2,0,0,0,0,T20I # 1860
Bangladesh Vs India,India,Ravichandran Ashwin,2,0,19,0,9.50,4,3,0,1,0,T20I # 1860
Bangladesh Vs India,India,Hardik Pandya,3,0,28,2,9.33,8,1,3,0,0,T20I # 1860
Netherlands Vs Zimbabwe,Netherlands,Fred Klaassen,4,0,17,1,4.25,17,0,1,2,0,T20I # 1859
Netherlands Vs Zimbabwe,Netherlands,Paul van Meekeren,4,0,29,3,7.25,13,3,0,2,0,T20I # 1859
Netherlands Vs Zimbabwe,Netherlands,Brandon Glover,4,1,29,2,7.25,15,2,2,2,0,T20I # 1859
Netherlands Vs Zimbabwe,Netherlands,Logan van Beek,2.2,0,17,2,7.28,8,1,1,1,0,T20I # 1859
Netherlands Vs Zimbabwe,Netherlands,Bas de Leede,4,0,14,2,3.50,11,0,0,0,0,T20I # 1859
Netherlands Vs Zimbabwe,Netherlands,Roelof van der Merwe,1,0,8,0,8.00,2,1,0,0,0,T20I # 1859
Netherlands Vs Zimbabwe,Zimbabwe,Tendai Chatara,4,0,22,0,5.50,14,4,0,0,0,T20I # 1859
Netherlands Vs Zimbabwe,Zimbabwe,Richard Ngarava,4,0,18,2,4.50,15,1,1,0,0,T20I # 1859
Netherlands Vs Zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,23,2,5.75,14,2,1,1,0,T20I # 1859
Netherlands Vs Zimbabwe,Zimbabwe,Sean Williams,3,0,21,0,7.00,8,2,1,0,0,T20I # 1859
Netherlands Vs Zimbabwe,Zimbabwe,Sikandar Raza,1,0,6,0,6.00,0,0,0,0,0,T20I # 1859
Netherlands Vs Zimbabwe,Zimbabwe,Luke Jongwe,2,0,25,1,12.50,3,4,0,3,1,T20I # 1859
England Vs New Zealand,England,Trent Boult,4,0,40,0,10.00,8,4,1,1,0,T20I # 1858
England Vs New Zealand,England,Tim Southee,4,0,43,1,10.75,9,3,3,0,0,T20I # 1858
England Vs New Zealand,England,Mitchell Santner,4,0,25,1,6.25,8,2,0,0,0,T20I # 1858
England Vs New Zealand,England,Lockie Ferguson,4,0,45,2,11.25,6,4,2,0,1,T20I # 1858
England Vs New Zealand,England,Ish Sodhi,4,0,23,1,5.75,10,2,0,0,0,T20I # 1858
England Vs New Zealand,New Zealand,Moeen Ali,1,0,4,0,4.00,3,0,0,0,0,T20I # 1858
England Vs New Zealand,New Zealand,Chris Woakes,4,0,33,2,8.25,9,1,2,1,0,T20I # 1858
England Vs New Zealand,New Zealand,Adil Rashid,4,0,33,0,8.25,6,0,2,0,0,T20I # 1858
England Vs New Zealand,New Zealand,Sam Curran,4,0,26,2,6.50,9,0,0,2,0,T20I # 1858
England Vs New Zealand,New Zealand,Mark Wood,3,0,25,1,8.33,8,2,1,1,0,T20I # 1858
England Vs New Zealand,New Zealand,Liam Livingstone,3,0,26,0,8.66,4,3,0,0,0,T20I # 1858
England Vs New Zealand,New Zealand,Ben Stokes,1,0,10,1,10.00,2,2,0,0,0,T20I # 1858
Afghanistan Vs Sri Lanka,Afghanistan,Kasun Rajitha,4,0,31,1,7.75,11,2,1,1,1,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,Pramod Madushan,3,0,24,0,8.00,7,2,1,0,0,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,Lahiru Kumara,4,0,30,2,7.50,12,2,1,4,0,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,Maheesh Theekshana,4,0,33,0,8.25,5,1,1,1,0,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,Wanindu Hasaranga,4,0,13,3,3.25,12,0,0,0,0,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,Dhananjaya de Silva,1,0,9,1,9.00,1,1,0,0,0,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,Fazalhaq Farooqi,3.3,1,22,0,6.28,11,3,0,1,0,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,Mujeeb Ur Rahman,4,0,24,2,6.00,12,3,0,0,0,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,Fareed Ahmad,2,0,25,0,12.50,3,3,1,1,0,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,Rashid Khan,4,0,31,2,7.75,10,2,1,1,0,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,Azmatullah Omarzai,2,0,17,0,8.50,2,1,0,1,0,T20I # 1856
